STATUS | wrapper  | 2014/10/27 19:50:32 | --> Wrapper Started as Daemon
INFO   | jvm 7    | 2014/11/03 03:30:20 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 7    | 2014/11/03 03:30:23 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 7    | 2014/11/03 03:30:23 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 7    | 2014/11/03 03:30:23 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 7    | 2014/11/03 03:30:27 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 7    | 2014/11/03 03:30:27 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 7    | 2014/11/03 03:30:27 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
ERROR  | wrapper  | 2014/11/03 15:42:58 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2014/11/03 15:42:58 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/11/03 15:43:03 | Launching a JVM...
WARN   | wrapper  | 2014/11/03 15:43:03 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 8    | 2014/11/03 15:43:03 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 8    | 2014/11/03 15:43:03 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 8    | 2014/11/03 15:43:03 | 
INFO   | jvm 8    | 2014/11/03 15:43:04 | 2014-11-03 15:43:04,228 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 8    | 2014/11/03 15:43:04 | Server log file located at /opt/rsa/esa/logs/esa.log
INFO   | jvm 8    | 2014/11/03 15:43:04 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 8    | 2014/11/03 15:43:07 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 8    | 2014/11/03 15:43:07 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 8    | 2014/11/03 15:43:07 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 8    | 2014/11/03 15:43:25 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 8    | 2014/11/03 15:43:25 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 8    | 2014/11/03 15:43:25 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
ERROR  | wrapper  | 2014/11/03 22:08:49 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2014/11/03 22:08:49 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/11/03 22:08:54 | Launching a JVM...
INFO   | jvm 9    | 2014/11/03 22:08:55 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 9    | 2014/11/03 22:08:55 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 9    | 2014/11/03 22:08:55 | 
WARN   | wrapper  | 2014/11/03 22:08:55 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 9    | 2014/11/03 22:08:55 | 2014-11-03 22:08:55,462 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 9    | 2014/11/03 22:08:55 | Server log file located at /opt/rsa/esa/logs/esa.log
INFO   | jvm 9    | 2014/11/03 22:08:55 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 9    | 2014/11/03 22:08:58 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 9    | 2014/11/03 22:08:58 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 9    | 2014/11/03 22:08:58 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 9    | 2014/11/03 22:09:02 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 9    | 2014/11/03 22:09:02 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 9    | 2014/11/03 22:09:02 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
ERROR  | wrapper  | 2014/11/04 09:25:38 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2014/11/04 09:25:38 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/11/04 09:25:42 | Launching a JVM...
INFO   | jvm 10   | 2014/11/04 09:25:43 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 10   | 2014/11/04 09:25:43 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 10   | 2014/11/04 09:25:43 | 
WARN   | wrapper  | 2014/11/04 09:25:43 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 10   | 2014/11/04 09:25:43 | 2014-11-04 09:25:43,724 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 10   | 2014/11/04 09:25:44 | Server log file located at /opt/rsa/esa/logs/esa.log
INFO   | jvm 10   | 2014/11/04 09:25:44 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 10   | 2014/11/04 09:25:47 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 10   | 2014/11/04 09:25:47 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 10   | 2014/11/04 09:25:47 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 10   | 2014/11/04 09:25:51 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 10   | 2014/11/04 09:25:51 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 10   | 2014/11/04 09:25:51 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
ERROR  | wrapper  | 2014/11/04 18:19:37 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2014/11/04 18:19:37 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/11/04 18:19:42 | Launching a JVM...
WARN   | wrapper  | 2014/11/04 18:19:42 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 11   | 2014/11/04 18:19:42 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 11   | 2014/11/04 18:19:42 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 11   | 2014/11/04 18:19:42 | 
INFO   | jvm 11   | 2014/11/04 18:19:43 | 2014-11-04 18:19:43,107 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 11   | 2014/11/04 18:19:43 | Server log file located at /opt/rsa/esa/logs/esa.log
INFO   | jvm 11   | 2014/11/04 18:19:43 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 11   | 2014/11/04 18:19:46 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 11   | 2014/11/04 18:19:46 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 11   | 2014/11/04 18:19:46 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 11   | 2014/11/04 18:19:50 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 11   | 2014/11/04 18:19:50 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 11   | 2014/11/04 18:19:50 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
ERROR  | wrapper  | 2014/11/05 03:14:42 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2014/11/05 03:14:42 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/11/05 03:14:47 | Launching a JVM...
INFO   | jvm 12   | 2014/11/05 03:14:47 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 12   | 2014/11/05 03:14:47 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 12   | 2014/11/05 03:14:47 | 
WARN   | wrapper  | 2014/11/05 03:14:48 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 12   | 2014/11/05 03:14:48 | 2014-11-05 03:14:48,331 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 12   | 2014/11/05 03:14:48 | Server log file located at /opt/rsa/esa/logs/esa.log
INFO   | jvm 12   | 2014/11/05 03:14:48 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 12   | 2014/11/05 03:14:51 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 12   | 2014/11/05 03:14:51 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 12   | 2014/11/05 03:14:51 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 12   | 2014/11/05 03:14:56 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 12   | 2014/11/05 03:14:56 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 12   | 2014/11/05 03:14:56 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
ERROR  | wrapper  | 2014/11/05 16:24:37 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2014/11/05 16:24:37 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/11/05 16:24:42 | Launching a JVM...
INFO   | jvm 13   | 2014/11/05 16:24:43 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 13   | 2014/11/05 16:24:43 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 13   | 2014/11/05 16:24:43 | 
WARN   | wrapper  | 2014/11/05 16:24:43 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 13   | 2014/11/05 16:24:43 | 2014-11-05 16:24:43,372 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 13   | 2014/11/05 16:24:43 | Server log file located at /opt/rsa/esa/logs/esa.log
INFO   | jvm 13   | 2014/11/05 16:24:43 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 13   | 2014/11/05 16:24:46 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 13   | 2014/11/05 16:24:46 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 13   | 2014/11/05 16:24:46 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 13   | 2014/11/05 16:24:50 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 13   | 2014/11/05 16:24:50 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 13   | 2014/11/05 16:24:50 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
ERROR  | wrapper  | 2014/11/06 00:36:36 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2014/11/06 00:36:36 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/11/06 00:36:41 | Launching a JVM...
WARN   | wrapper  | 2014/11/06 00:36:41 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 14   | 2014/11/06 00:36:41 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 14   | 2014/11/06 00:36:41 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 14   | 2014/11/06 00:36:41 | 
INFO   | jvm 14   | 2014/11/06 00:36:42 | 2014-11-06 00:36:42,345 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 14   | 2014/11/06 00:36:42 | Server log file located at /opt/rsa/esa/logs/esa.log
